time,threads,limit
0.000201,1,100
0.000326,1,100
0.000383,1,100
0.00026,1,100
0.000251,1,100
0.000321,1,100
0.000234,1,100
0.000311,1,100
0.000237,1,100
0.000248,1,100
0.00102,2,100
0.00038,2,100
0.001218,2,100
0.000377,2,100
0.000328,2,100
0.000328,2,100
0.000359,2,100
0.000345,2,100
0.000558,2,100
0.000366,2,100
0.001771,4,100
0.000834,4,100
0.001227,4,100
0.000893,4,100
0.000496,4,100
0.000617,4,100
0.000479,4,100
0.000531,4,100
0.001321,4,100
0.00051,4,100
0.001257,8,100
0.001166,8,100
0.000911,8,100
0.000711,8,100
0.000732,8,100
0.000795,8,100
0.000709,8,100
0.000793,8,100
0.001222,8,100
0.0007,8,100
0.000304,1,1000
0.000307,1,1000
0.000299,1,1000
0.000243,1,1000
0.000277,1,1000
0.000278,1,1000
0.000338,1,1000
0.000284,1,1000
0.0003,1,1000
0.000303,1,1000
0.000465,2,1000
0.000492,2,1000
0.000455,2,1000
0.000453,2,1000
0.001076,2,1000
0.000631,2,1000
0.000515,2,1000
0.000449,2,1000
0.000393,2,1000
0.000546,2,1000
0.001263,4,1000
0.000624,4,1000
0.00172,4,1000
0.00101,4,1000
0.001364,4,1000
0.000705,4,1000
0.001794,4,1000
0.000773,4,1000
0.001251,4,1000
0.000938,4,1000
0.002124,8,1000
0.002604,8,1000
0.000824,8,1000
0.002391,8,1000
0.001414,8,1000
0.00163,8,1000
0.002281,8,1000
0.001727,8,1000
0.002043,8,1000
0.001693,8,1000
0.001256,1,10000
0.001178,1,10000
0.00136,1,10000
0.001224,1,10000
0.001169,1,10000
0.001135,1,10000
0.001149,1,10000
0.001221,1,10000
0.001093,1,10000
0.001237,1,10000
0.00273,2,10000
0.001694,2,10000
0.001724,2,10000
0.001504,2,10000
0.001483,2,10000
0.001567,2,10000
0.001539,2,10000
0.002087,2,10000
0.001381,2,10000
0.001655,2,10000
0.002508,4,10000
0.002669,4,10000
0.001785,4,10000
0.002658,4,10000
0.002678,4,10000
0.002203,4,10000
0.002057,4,10000
0.001845,4,10000
0.002809,4,10000
0.001886,4,10000
0.003973,8,10000
0.004068,8,10000
0.002389,8,10000
0.002367,8,10000
0.003463,8,10000
0.002437,8,10000
0.002362,8,10000
0.00368,8,10000
0.003377,8,10000
0.002904,8,10000
0.01258,1,100000
0.010736,1,100000
0.010481,1,100000
0.00908,1,100000
0.009926,1,100000
0.009708,1,100000
0.010381,1,100000
0.010504,1,100000
0.011329,1,100000
0.013472,1,100000
0.010323,2,100000
0.014108,2,100000
0.020035,2,100000
0.009898,2,100000
0.010151,2,100000
0.009756,2,100000
0.012332,2,100000
0.009923,2,100000
0.016892,2,100000
0.009496,2,100000
0.019299,4,100000
0.02042,4,100000
0.013305,4,100000
0.020192,4,100000
0.020105,4,100000
0.018043,4,100000
0.022355,4,100000
0.010805,4,100000
0.010708,4,100000
0.010843,4,100000
0.011663,8,100000
0.023722,8,100000
0.015618,8,100000
0.013727,8,100000
0.011495,8,100000
0.010782,8,100000
0.011059,8,100000
0.011853,8,100000
0.018791,8,100000
0.022521,8,100000
0.20482,1,1000000
0.188192,1,1000000
0.181604,1,1000000
0.101735,1,1000000
0.169611,1,1000000
0.161835,1,1000000
0.168598,1,1000000
0.220046,1,1000000
0.203778,1,1000000
0.169589,1,1000000
0.112006,2,1000000
0.172076,2,1000000
0.154031,2,1000000
0.159416,2,1000000
0.168107,2,1000000
0.103234,2,1000000
0.097461,2,1000000
0.116924,2,1000000
0.11439,2,1000000
0.104328,2,1000000
0.16964,4,1000000
0.107993,4,1000000
0.130935,4,1000000
0.102732,4,1000000
0.154746,4,1000000
0.11219,4,1000000
0.177403,4,1000000
0.148695,4,1000000
0.145614,4,1000000
0.114249,4,1000000
0.123583,8,1000000
0.162462,8,1000000
0.10368,8,1000000
0.10736,8,1000000
0.104249,8,1000000
0.099082,8,1000000
0.105526,8,1000000
0.132565,8,1000000
0.148837,8,1000000
0.105445,8,1000000
2.095356,1,10000000
1.623233,1,10000000
2.067382,1,10000000
2.089441,1,10000000
2.121858,1,10000000
2.221622,1,10000000
1.907807,1,10000000
1.822381,1,10000000
2.040957,1,10000000
2.054268,1,10000000
2.34265,2,10000000
2.267404,2,10000000
2.076547,2,10000000
2.226337,2,10000000
2.251549,2,10000000
1.942202,2,10000000
2.148154,2,10000000
1.852992,2,10000000
2.375389,2,10000000
2.285432,2,10000000
2.182678,4,10000000
2.033405,4,10000000
2.261233,4,10000000
2.092966,4,10000000
2.328243,4,10000000
1.897085,4,10000000
1.891317,4,10000000
1.979989,4,10000000
2.260925,4,10000000
2.104179,4,10000000
2.139176,8,10000000
2.014928,8,10000000
1.949414,8,10000000
2.018738,8,10000000
2.364972,8,10000000
2.216384,8,10000000
2.319465,8,10000000
2.157089,8,10000000
1.83855,8,10000000
2.043921,8,10000000
22.588661,1,100000000
23.130545,1,100000000
23.562983,1,100000000
24.514148,1,100000000
22.864814,1,100000000
25.138694,1,100000000
24.133549,1,100000000
23.886107,1,100000000
23.427298,1,100000000
23.813385,1,100000000
24.270262,2,100000000
21.640866,2,100000000
24.24367,2,100000000
24.380366,2,100000000
24.022382,2,100000000
24.258682,2,100000000
23.697579,2,100000000
23.135741,2,100000000
22.71618,2,100000000
22.549779,2,100000000
23.024948,4,100000000
23.367551,4,100000000
22.910103,4,100000000
21.151702,4,100000000
23.337294,4,100000000
22.896042,4,100000000
22.019286,4,100000000
21.476932,4,100000000
23.048163,4,100000000
22.189049,4,100000000
22.308113,8,100000000
22.438336,8,100000000
22.451379,8,100000000
24.806912,8,100000000
22.499644,8,100000000
22.984555,8,100000000
24.100093,8,100000000
22.996557,8,100000000
23.21462,8,100000000
23.900775,8,100000000
